condition,n_features,train_rows,best_k,best_weight,best_metric,tune_time_s,umap_time_s,pr_auc,brier,f1,accuracy,roc_auc,tau_star
original,18,21574,15,uniform,manhattan,7.9,0.0,0.49993199573626995,0.14292674787251794,0.5098730606488011,0.7680627398631737,0.7502351157205642,0.3333333333333333
original_UMAP,2,21574,21,uniform,manhattan,1.1,25.5,0.4879293601191501,0.14409933281950635,0.503968253968254,0.7914233272150842,0.7470048196298842,0.38095238095238093
smote,18,37336,15,distance,manhattan,28.5,0.0,0.4749295643189292,0.17224540495035418,0.0903316866619619,0.7849157350241949,0.7435390038397385,0.9999999999999982
smote_UMAP,2,37336,31,distance,euclidean,1.5,22.2,0.45585472735870125,0.1977485582549155,0.48332858364206327,0.6974803937927582,0.7313897423616478,0.46755206073618294
