condition,n_features,train_rows,fit_time_s,pr_auc,brier,f1,accuracy,roc_auc,tau_star
original,18,21574,38.4,0.514417730694298,0.14184801939006522,0.5129237999328634,0.7578841982312698,0.7127432074179576,0.15238816005627534
original_LDA,1,21574,92.8,0.46705849317062287,0.14680164638505652,0.5231464057207377,0.7885866844652094,0.6873733324154933,0.1479920509499406
balanced,18,37336,214.8,0.47297354397171976,0.17184385359476406,0.49896394529631166,0.7982646420824295,0.7408491507232353,0.7088096538313902
balanced_LDA,1,37336,206.0,0.3966954242878181,0.19689152303724103,0.49354275741710296,0.7578841982312698,0.7070260980065741,0.6557112562713784
