condition,n_features,train_rows,pr_auc,brier,f1,accuracy,roc_auc,tau_star
original,18,21574,0.5086739543694081,0.1423193116071118,0.5182879377431907,0.7934256632738195,0.7458468545071603,0.3193256449848405
original_PCA,13,21574,0.5030671065970728,0.14275210470824892,0.5276627775686865,0.7905890205239446,0.747032128603613,0.31922570300491904
balanced_cw,18,21574,0.49692982508262995,0.1960101929029555,0.5272268301478543,0.7812447855831803,0.7494519622224786,0.57663456179251
balanced_cw_PCA,13,21574,0.49411825172255774,0.1968652025278422,0.5275278877293991,0.7809110629067245,0.7497310308475057,0.5933295290500449
smote,18,37336,0.48696656734103544,0.1937237493143424,0.4965034965034965,0.7597196729517771,0.7226712313050684,0.5431565049251154
smote_PCA,13,37336,0.4850965135046156,0.20018145816718771,0.494488188976378,0.7321875521441682,0.7269021831343011,0.521665349567745
